,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
0,,Non-removable Li-Po 8827 mAh battery (32.9 Wh),,"1.2 MP, f/2.2, 31mm (standard)","32GB 2GB RAM, 128GB 2GB RAM","iOS 11.3, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 31mm (standard), 1.12µm, AF","2018, March","9.7 inches, 291.4 cm, (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad 9.7 (2018)
1,,Non-removable Li-Ion 292 mAh battery (1.12 Wh),,,16GB,"watchOS 5.0, upgradable to 6.1",,No,"2018, September","1.78 inches, 10.0 cm, (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),"LTPO OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate (2nd gen), barometer",Apple Watch Series 4 Aluminum
2,,Non-removable Li-Ion battery,,,16GB,"watchOS 5.0, upgradable to 6.1",,No,"2018, September","1.78 inches, 10.0 cm, (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),"LTPO OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate (2nd gen), barometer",Apple Watch Series 4
3,"$ 429.99 / £ 489.00 / € 628.26 / ₹ 42,900",Non-removable Li-Ion 2942 mAh battery (11.16 Wh),"64GB,128GB,256GB","7 MP, f/2.2, 32mm (standard),
SL 3D camera","64GB 3GB RAM, 128GB 3GB RAM, 256GB 3GB RAM","iOS 12, upgradable to iOS 13.2","$ 464.99,$ 474.96,$ 579.69,$ 429.99,$ 544.99,$ 939.74,$ 609.99,$ 749.99,$ 1,090.55","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, PDAF, OIS","2018, September","6.1 inches, 90.3 cm, (~79.0% screen-to-body ratio)","828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)","Liquid Retina IPS LCD capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone XR
4,"$ 569.99 / £ 499.89 / € 688.99 / ₹ 79,900",Non-removable Li-Ion 2658 mAh battery (10.13 Wh),"64GB,256GB,512GB","7 MP, f/2.2, 32mm (standard),
SL 3D camera","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","iOS 12, upgradable to iOS 13.2","$ 569.99,$ 599.99,$ 887.80,$ 595.99,$ 1,360.03,£ 549.95,$ 699.99,£ 709.99,£ 849.00","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom","2018, September","5.8 inches, 84.4 cm, (~82.9% screen-to-body ratio)","1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)","Super Retina OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone XS
5,"$ 609.99 / £ 528.95 / € 748.99 / ₹ 89,900",Non-removable Li-Ion 3174 mAh battery (12.08 Wh),"64GB,256GB,512GB","7 MP, f/2.2, 32mm (standard),
SL 3D camera","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","iOS 12, upgradable to iOS 13.2","$ 609.99,$ 629.99,£ 528.95,$ 674.86,$ 1,468.84,£ 579.99,$ 774.95,$ 900.00,$ 987.48","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom","2018, September","6.5 inches, 102.9 cm, (~84.4% screen-to-body ratio)","1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)","Super Retina OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone XS Max
6,,Non-removable Li-Po 7812 mAh battery (29.45 Wh),,"7 MP, f/2.2, 32mm (standard)","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM, 1TB 6GB RAM","iOS 12, upgradable to iPadOS 13.1.2",,"12 MP, f/1.8, 29mm (standard), 1/3"", 1.22µm, PDAF","2018, October","11.0 inches, 366.5 cm, (~82.9% screen-to-body ratio)",1668 x 2388 pixels (~265 ppi density),"IPS LCD capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, barometer",Apple iPad Pro 11
7,,Non-removable Li-Po 9720 mAh battery (36.71 Wh),,"7 MP, f/2.2, 32mm (standard)","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM, 1TB 6GB RAM","iOS 12, upgradable to iPadOS 13.1.2",,"12 MP, f/1.8, 29mm (standard), 1/3"", 1.22µm, PDAF","2018, October","12.9 inches, 515.3 cm, (~85.4% screen-to-body ratio)","2048 x 2732 pixels, 4:3 ratio (~265 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, barometer",Apple iPad Pro 12.9 (2018)
8,,Non-removable Li-Ion 5124 mAh battery (19.1 Wh),,"7 MP, f/2.2, 31mm (standard)","64GB 3GB RAM, 256GB 3GB RAM","iOS 12.1.3, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 32mm (standard), 1.12µm, AF","2019, March","7.9 inches, 193.3 cm, (~70.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~324 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad mini (2019)
9,,Non-removable Li-Po 8134 mAh battery (30.8 Wh),,"7 MP, f/2.2, 31mm (standard)","64GB 3GB RAM, 256GB 3GB RAM","iOS 12.1.3, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 31mm (standard), 1.12µm, AF","2019, March","10.5 inches, 341.4 cm, (~78.3% screen-to-body ratio)","1668 x 2224 pixels, 4:3 ratio (~265 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad Air (2019)
