index,feature,category,count
0,2nd,2018,2
1,accelerometer,2018,144
2,al00,2018,1
3,altimeter,2018,1
4,america,2018,1
5,barometer,2018,37
6,color,2018,8
7,compass,2018,115
8,dependent,2018,1
9,display,2018,7
10,face,2018,12
11,fingerprint,2018,103
12,fingerprints,2018,1
13,gen,2018,2
14,gyro,2018,100
15,heart,2018,9
16,id,2018,8
17,infrared,2018,4
18,iris,2018,5
19,lte,2018,2
20,lx2,2018,1
21,market,2018,1
22,markets,2018,1
23,model,2018,2
24,mounted,2018,98
25,north,2018,1
26,optical,2018,7
27,proximity,2018,133
28,rate,2018,9
29,rear,2018,85
30,recognition,2018,4
31,scanner,2018,5
32,spectrum,2018,8
33,spo2,2018,3
34,2nd,2019,3
35,32,2019,1
36,3gb,2019,1
37,accelerometer,2019,200
38,barometer,2019,44
39,color,2019,4
40,compass,2019,164
41,display,2019,63
42,face,2019,11
43,fingerprint,2019,156
44,gen,2019,3
45,gyro,2019,144
46,hand,2019,1
47,heart,2019,10
48,id,2019,12
49,mounted,2019,93
50,optical,2019,56
51,proximity,2019,185
52,rate,2019,10
53,rear,2019,72
54,spectrum,2019,4
55,spo2,2019,2
56,ultrasonic,2019,7
57,accelerometer,2015,148
58,barometer,2015,42
59,color,2015,6
60,compass,2015,92
61,eu,2015,3
62,fingerprint,2015,38
63,gyro,2015,67
64,heart,2015,21
65,model,2015,3
66,mounted,2015,38
67,proximity,2015,120
68,rate,2015,21
69,rear,2015,9
70,spectrum,2015,6
71,spo2,2015,11
72,yes,2015,2
73,accelerometer,2016,135
74,barometer,2016,31
75,color,2016,5
76,compass,2016,79
77,dependent,2016,1
78,fingerprint,2016,65
79,gyro,2016,64
80,heart,2016,20
81,iris,2016,2
82,mounted,2016,65
83,proximity,2016,104
84,rate,2016,20
85,rear,2016,30
86,region,2016,1
87,scanner,2016,2
88,spectrum,2016,5
89,spo2,2016,7
90,accelerometer,2017,110
91,bach,2017,1
92,barometer,2017,41
93,color,2017,5
94,compass,2017,86
95,dependent,2017,2
96,face,2017,1
97,fingerprint,2017,67
98,gyro,2017,81
99,heart,2017,14
100,id,2017,1
101,iris,2017,5
102,l09,2017,1
103,mounted,2017,67
104,proximity,2017,91
105,rate,2017,14
106,rear,2017,32
107,region,2017,2
108,scanner,2017,5
109,spectrum,2017,5
110,spo2,2017,4
111,accelerometer,2012,193
112,barometer,2012,14
113,compass,2012,160
114,grip,2012,1
115,gyro,2012,96
116,proximity,2012,156
117,3g,2013,1
118,accelerometer,2013,151
119,barometer,2013,15
120,c6502,2013,1
121,compass,2013,111
122,core,2013,1
123,fingerprint,2013,1
124,gesture,2013,10
125,gyro,2013,66
126,humidity,2013,8
127,lte,2013,1
128,models,2013,1
129,mounted,2013,1
130,optional,2013,1
131,proximity,2013,132
132,sensor,2013,1
133,temperature,2013,9
134,yes,2013,1
135,accelerometer,2007,4
136,proximity,2007,1
137,accelerometer,2008,23
138,compass,2008,1
139,proximity,2008,2
140,accelerometer,2009,74
141,altimeter,2009,1
142,compass,2009,14
143,fingerprint,2009,1
144,mounted,2009,1
145,proximity,2009,19
146,accelerometer,2010,97
147,compass,2010,50
148,gyro,2010,6
149,proximity,2010,53
150,accelerometer,2011,161
151,barometer,2011,6
152,compass,2011,138
153,gyro,2011,53
154,proximity,2011,128
155,accelerometer,2014,222
156,barometer,2014,26
157,compass,2014,140
158,core,2014,7
159,fingerprint,2014,26
160,gesture,2014,10
161,gyro,2014,98
162,heart,2014,28
163,light,2014,1
164,mounted,2014,26
165,proximity,2014,142
166,rate,2014,28
167,rear,2014,2
168,sensor,2014,7
169,spo2,2014,4
170,uv,2014,5
171,yes,2014,1
172,compass,2003,1
173,level,2003,1
174,meter,2003,1
175,sound,2003,1
176,thermometer,2003,2
177,level,2000,1
178,meter,2000,1
179,sound,2000,1
180,thermometer,2002,1
181,thermometer,2005,1
