basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Po 9240 mAh battery (34.2 Wh),,2 MP,"32GB 3GB RAM, 64GB 3GB RAM","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",,"8 MP, f/2.4","2015, October","10.2 inches, 313.8 cm, (~72.4% screen-to-body ratio)",2560 x 1800 pixels (~308 ppi density),"LTPS IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Google Pixel C
$ 109.95,Non-removable Li-Ion 2770 mAh battery,"32GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 1/3.2"", 1.4µm","32GB 4GB RAM, 128GB 4GB RAM","Android 7.1 (Nougat), upgradable to Android 10","$ 109.95,$ 139.63,$ 134.98,$ 134.98","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF, Laser AF","2016, October","5.0 inches, 68.9 cm, (~69.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel
"$ 114.00 / £ 165.00 / € 199.99 / ₹ 55,000",Non-removable Li-Ion 3450 mAh battery,"32GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 1/3.2"", 1.4µm","32GB 4GB RAM, 128GB 4GB RAM","Android 7.1 (Nougat), upgradable to Android 10","$ 114.00,$ 142.99,$ 142.20,£ 165.00,$ 139.99,$ 171.00,$ 141.95,£ 249.99","12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF, Laser AF","2016, October","5.5 inches, 83.4 cm, (~71.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel XL
$ 210.95 / £ 289.99 / € 309.00,Non-removable Li-Ion 3520 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 25mm (wide), 1/3.2"", 1.4µm","64GB 4GB RAM, 128GB 4GB RAM","Android 8.0 (Oreo), upgradable to Android 10","$ 210.95,$ 284.00,$ 286.13,£ 289.99,$ 250.50,$ 336.00,$ 285.99,£ 319.00","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","2017, October","6.0 inches, 92.6 cm, (~76.4% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 2 XL
$ 179.95 / £ 228.99,Non-removable Li-Ion 2700 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/2.4, 27mm (wide), 1/3.2"", 1.4µm","64GB 4GB RAM, 128GB 4GB RAM","Android 8.0 (Oreo), upgradable to Android 10","$ 179.95,$ 216.29,$ 213.39,£ 228.99,$ 239.52,$ 340.19,£ 233.99,£ 349.99","12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","2017, October","5.0 inches, 68.9 cm, (~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 2
"$ 319.97 / £ 439.00 / € 555.00 / ₹ 44,999",Non-removable Li-Po 2915 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/1.8, 28mm (wide), PDAF,
8 MP, f/2.2, 19mm (ultrawide), no AF","64GB 4GB RAM, 128GB 4GB RAM","Android 9.0 (Pie), upgradable to Android 10","$ 319.97,$ 417.99,£ 439.00,€ 555.00,$ 439.97,$ 1,169.00,£ 499.00,€ 912.77","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2018, October","5.5 inches, 76.7 cm, (~77.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~443 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3
"$ 349.99 / £ 469.00 / ₹ 29,799",Non-removable Li-Po 3430 mAh battery,"64GB 4GB RAM,128GB 4GB RAM","8 MP, f/1.8, 28mm (wide), PDAF,
8 MP, f/2.2, 19mm (ultrawide), no AF","64GB 4GB RAM, 128GB 4GB RAM","Android 9.0 (Pie), upgradable to Android 10","$ 349.99,$ 432.94,£ 469.00,₹ 29,799,£ 579.00,£ 639.00","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2018, October","6.3 inches, 100.3 cm, (~82.8% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~523 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3 XL
"$ 276.99 / £ 369.00 / € 359.36 / ₹ 29,999",Non-removable Li-Po 3000 mAh battery,64GB 4GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",64GB 4GB RAM,"Android 9.0 (Pie), upgradable to Android 10","$ 276.99,$ 329.95,£ 369.00,£ 399.00,€ 359.36,₹ 29,999","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2019, May","5.6 inches, 79.6 cm, (~75.0% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3a
"$ 332.85 / £ 399.00 / € 434.00 / ₹ 32,999",Non-removable Li-Po 3700 mAh battery,64GB 4GB RAM,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",64GB 4GB RAM,"Android 9.0 (Pie), upgradable to Android 10","$ 332.85,$ 529.34,£ 399.00,£ 440.90,€ 434.00,₹ 32,999","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","2019, May","6.0 inches, 92.9 cm, (~76.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Google Pixel 3a XL
"$ 754.75 / £ 657.00 / € 749.00 / ₹ 86,990",Non-removable Li-Po 2800 mAh battery,"64GB 6GB RAM,128GB 6GB RAM","8 MP, f/2.0, 22mm (wide), 1.22µm, no AF,
TOF 3D camera","64GB 6GB RAM, 128GB 6GB RAM",Android 10,"$ 754.75,$ 919.00,£ 657.00,£ 669.00,$ 899.00,$ 1,069.00,£ 752.00,£ 769.00","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom","2019, October","5.7 inches, 80.7 cm, (~79.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)","P-OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Google Pixel 4
