basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Po 7250 mAh battery,,"8 MP, f/2.0","128GB 6GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",Android 10; EMUI 10,,"13 MP, f/1.8, PDAF","2019, November","10.8 inches, 338.2 cm, (~86.5% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Huawei MatePad Pro
,Non-removable Li-Po 3400 mAh battery,,8 MP,"64GB 4GB RAM, 128GB 4GB RAM",Android 9.0 (Pie); EMUI 9,,"24 MP, PDAF,
16 MP, (ultrawide),
2 MP, depth sensor","2019, March","6.21 inches, 94.7 cm, (~83.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei Enjoy 9s
,Non-removable Li-Po 3020 mAh battery,,"8 MP, f/2.0","32GB 3GB RAM, 64GB 3GB RAM",Android 9.0 (Pie); EMUI 9,,"13 MP, f/1.8, PDAF","2019, March","6.09 inches, 90.4 cm, (~78.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~283 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity",Huawei Enjoy 9e
$ 103.99 / £ 94.70 / € 103.00,Non-removable Li-Ion 3020 mAh battery,"32GB 2GB RAM,16GB 2GB RAM","5 MP, f/2.2","16GB 2GB RAM, 32GB 2GB RAM",Android 9.0 (Pie); EMUI 9.1,"$ 103.99,$ 112.99,£ 94.70,€ 103.00","13 MP, f/1.8, PDAF","2019, April","5.71 inches, 81.4 cm, (~78.1% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Y5 (2019)
,Non-removable Li-Po 3340 mAh battery,,"32 MP, f/2.0, 26mm (wide), 0.8µm","128GB 4GB RAM, 128GB 8GB RAM","Android 9.0 (Pie), EMUI 9.0",,"24 MP, f/1.8, (wide), PDAF,
8 MP, 13mm (ultrawide),
2 MP, f/2.4, depth sensor","2019, March","6.15 inches, 93.6 cm, (~84.2% screen-to-body ratio)",1080 x 2312 pixels (~415 ppi density),"IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei nova 4e
"$ 194.99 / £ 205.46 / € 255.00 / ₹ 14,503",Non-removable Li-Po 3340 mAh battery,128GB 4GB RAM,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm,
or,
32 MP, f/2.0, 26mm (wide), 0.8µm","128GB 4GB RAM, 128GB 8GB RAM","Android 9.0 (Pie), EMUI 9.1","$ 229.95,$ 269.98,$ 194.99,£ 205.46,£ 229.99,€ 255.00,₹ 14,503","48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF,
8 MP, 13mm (ultrawide),
2 MP, f/2.4, depth sensor,
or,
24 MP, f/1.8, (wide), PDAF,
8 MP, 13mm (ultrawide),
2 MP, f/2.4, depth sensor","2019, March","6.15 inches, 93.6 cm, (~84.2% screen-to-body ratio)",1080 x 2312 pixels (~415 ppi density),"LTPS IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei P30 lite
$ 449.99 / £ 385.00 / € 559.99,Non-removable Li-Po 3650 mAh battery,"128GB 6GB RAM,128GB 8GB RAM","32 MP, f/2.0, 26mm (wide), 0.8µm","64GB 8GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Android 9.0 (Pie), upgradable to Android 10; EMUI 10","$ 499.00,$ 514.50,$ 449.99,£ 385.00,£ 389.99,$ 534.99,$ 539.99,$ 599.99,£ 426.00","40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF,
8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF, Laser AF, OIS, 3x optical zoom,
16 MP, f/2.2, 17mm (ultrawide), PDAF, Laser AF","2019, March","6.1 inches, 91.3 cm, (~85.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Huawei P30
"$ 649.99 / £ 546.59 / € 660.00 / ₹ 79,000",Non-removable Li-Po 4200 mAh battery,"128GB 8GB RAM,256GB 8GB RAM,512GB 8GB RAM","32 MP, f/2.0, 26mm (wide), 0.8µm","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","Android 9.0 (Pie), upgradable to Android 10; EMUI 10","$ 710.90,$ 749.90,$ 976.81,$ 728.90,$ 729.94,$ 649.99,$ 919.99,$ 1,349.00,£ 829.99","40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS,
Periscope 8 MP, f/3.4, 125mm (telephoto), 1/4"", PDAF, OIS, 5x optical zoom,
20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF,
TOF 3D camera","2019, March","6.47 inches, 102.8 cm, (~88.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum",Huawei P30 Pro
$ 890.00 / £ 743.84 / € 865.63,Non-removable Li-Po 4200 mAh battery,256GB 8GB RAM,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm",256GB 8GB RAM,Android 9.0 (Pie); EMUI 9.1,"$ 890.00,$ 950.00,$ 1,199.99,£ 743.84,£ 970.04,€ 865.63","40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF,
8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF, Laser AF, OIS, 3x optical zoom,
20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF, Laser AF","2019, May","7.2 inches, 130.7 cm, (~87.6% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~346 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass",Huawei Mate 20 X (5G)
$ 176.99 / £ 189.95 / € 216.70,Non-removable Li-Po 4000 mAh battery,64GB 4GB RAM,"Motorized pop-up 16 MP, f/2.0",64GB 4GB RAM,Android 9.0 (Pie); EMUI 9,"$ 176.99,£ 189.95,£ 199.37,€ 216.70","16 MP, f/1.8, PDAF,
2 MP, f/2.4, depth sensor","2019, May","6.59 inches, 106.6 cm, (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei P Smart Z
