basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Po 8200 mAh battery,,5 MP,32GB 4GB RAM,Android 9.0 (Pie),,"8 MP, AF","2019, October","10.1 inches, 295.8 cm, (~79.4% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer",LG G Pad 5 10.1
,Non-removable Li-Ion 3000 mAh battery,,"8 MP, f/1.9, 26mm (wide), 1/4"", 1.12µm","32GB 4GB RAM, 64GB 4GB RAM",Android 8.1 (Oreo),,"16 MP, f/2.2, 28mm (wide), 1/3.1"",  1.0µm, PDAF","2018, August","6.1 inches, 91.3 cm, (~82.9% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~563 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LG G7 Fit
,Removable Li-Ion 2500 mAh battery,,5 MP,16GB 2GB RAM,Android 7.1.2 (Nougat),,"8 MP, AF","2018, August","5.0 inches, 68.9 cm, (~64.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity",LG Candy
,Removable Li-Ion 2500 mAh battery,,5 MP,16GB 2GB RAM,Android 8.1 (Oreo),,"8 MP, AF","2019, January","5.0 inches, 68.9 cm, (~66.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",LG Tribute Empire
,Non-removable Li-Ion 240 mAh battery,,,4GB 768MB RAM,Android Wear OS 2.0,,No,"2018, October","1.2 inches, 9.3 cm, (~45.8% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~300 ppi density)","P-OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass, barometer, altimeter",LG Watch W7
"$ 240.44 / £ 278.00 / € 419.00 / ₹ 19,900",Non-removable Li-Po 3300 mAh battery,"64GB 6GB RAM,128GB 6GB RAM","8 MP, f/1.9, 26mm (standard), 1/3.2"", 1.4µm,
5 MP, 21mm (wide), f/2.2, 1.4µm","64GB 6GB RAM, 128GB 6GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)","$ 259.95,$ 319.99,$ 849.99,$ 240.44,£ 278.00,$ 474.00,£ 364.00,£ 419.84,€ 419.00","12 MP, 27mm (standard), f/1.5, 1/2.55"", 1.4µm, dual pixel PDAF, 3-axis OIS,
12 MP, 52mm (telephoto), f/2.4, 1.0µm, 2x optical zoom, PDAF, OIS,
16 MP, 16mm (ultrawide), f/1.9, 1/3.1"", 1.0µm, no AF","2018, October","6.4 inches, 100.5 cm, (~83.6% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~537 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",LG V40 ThinQ
,Non-removable Li-Ion 3000 mAh battery,,"8 MP, f/1.9, 26mm (wide)",64GB 4GB RAM,Android 8.1 (Oreo),,"16 MP, f/2.2, 28mm (wide), PDAF","2019, January","6.1 inches, 91.0 cm, (~82.6% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~564 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LG Q9
,Non-removable Li-Ion 3000 mAh battery,,"8 MP, f/2.0","32GB 2GB RAM, 32GB 3GB RAM",Android 8.1 (Oreo); LG UX 7,,"16 MP, f/2.0, 1/3.1"", 1.0µm, PDAF","2019, February","5.7 inches, 83.8 cm, (~76.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",LG K40
,Non-removable Li-Po 3500 mAh battery,,"13 MP, f/2.0",32GB 3GB RAM,Android 9.0 (Pie),,"13 MP, f/2.2, 26mm (wide), PDAF,
2 MP, f/2.4 depth sensor","2019, February","6.26 inches, 97.8 cm, (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity",LG K50
"$ 173.60 / £ 134.69 / € 142.54 / ₹ 13,999",Non-removable Li-Ion 3500 mAh battery,64GB 3GB RAM,13 MP,64GB 3GB RAM,Android 9.0 (Pie); LG UX 7,"$ 173.60,£ 134.69,£ 144.90,€ 142.54,₹ 13,999","16 MP, f/2.0, 26mm (wide), PDAF,
5 MP, f/2.2, 13mm (ultrawide),
2 MP, f/2.4, depth sensor","2019, February","6.26 inches, 97.8 cm, (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",LG Q60
$ 304.90 / £ 519.00,Non-removable Li-Po 3500 mAh battery,128GB 6GB RAM,"8 MP, f/1.7, 26mm (wide), 1/3.6"", 1.22µm, AF,
 TOF 3D camera, f/1.4",128GB 6GB RAM,Android 9.0 (Pie); LG UX 8.0,"$ 304.90,$ 384.99,$ 849.99,£ 519.00","12 MP, f/1.5, 27mm (standard), 1/2.55"", 1.4µm, Dual pixel PDAF, OIS,
16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", 1.0µm, no AF,
or,
12 MP, f/1.5, 27mm (standard), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
16 MP, f/1.9, 16mm (ultrawide), 1/3.1"", 1.0µm, no AF,
12 MP, 52mm (telephoto), f/2.4, 1.0µm, 2x optical zoom, dual pixel PDAF, OIS","2019, February","6.1 inches, 91.0 cm, (~83.5% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~564 ppi density)","P-OLED capacitive touchscreen, 16M colors","Face ID, Hand ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",LG G8 ThinQ
"$ 389.99 / £ 377.20 / ₹ 35,990",Non-removable Li-Po 3550 mAh battery,128GB 6GB RAM,"8 MP, f/1.9, 26mm (wide), 1/4"", 1.12µm, AF,
TOF 3D camera, f/1.4","64GB 6GB RAM, 128GB 6GB RAM",Android 9.0 (Pie); LG UX 8.0,"$ 389.99,$ 479.79,$ 597.90,£ 377.20,£ 421.74,₹ 35,990","12 MP, f/1.8, 27mm (wide), 1.4µm, PDAF, OIS,
12 MP, f/2.6, 49mm (telephoto), 1.0µm, PDAF, 2x optical zoom,
13 MP, f/2.4, 14mm (ultrawide), 1.0µm","2019, February","6.21 inches, 97.6 cm, (~82.0% screen-to-body ratio)",1080 x 2248 pixels (~401 ppi density),"G-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",LG G8S ThinQ
$ 735.00 / £ 754.99,Non-removable Li-Po 4000 mAh battery,128GB 6GB RAM,"8 MP, f/1.9, 26mm (standard), 1/4"", 1.12µm,
5 MP, 21mm (wide), f/2.2, 1/5"", 1.12µm",128GB 6GB RAM,Android 9.0 (Pie); LG UX 8.0,"$ 735.00,£ 754.99","12 MP, 27mm (standard), f/1.5, 1/2.55"", 1.4µm, dual pixel PDAF, 3-axis OIS,
12 MP, 52mm (telephoto), f/2.4, 1/3.4"", 1.0µm, 2x optical zoom, PDAF, OIS,
16 MP, 16mm (ultrawide), f/1.9, 1/3.1"", 1.0µm, no AF","2019, February","6.4 inches, 100.2 cm, (~82.7% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~538 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",LG V50 ThinQ 5G
,Non-removable Li-Ion 3500 mAh battery,,5 MP,32GB 3GB RAM,Android 9.0 (Pie),,"13 MP, PDAF","2019, June","6.2 inches, 99.2 cm, (~79.8% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~390 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity",LG Stylo 5
"£ 142.90 / ₹ 8,999",Non-removable Li-Po 4000 mAh battery,32GB 3GB RAM,8 MP,32GB 3GB RAM,Android 9.0 (Pie),"£ 142.90,₹ 8,999","13 MP, PDAF,
5 MP, depth sensor","2019, June","6.19 inches, 96.0 cm, (~80.7% screen-to-body ratio)","720 x 1512 pixels, 19:9 ratio (~271 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity",LG W10
"$ 163.99 / £ 144.46 / € 166.22 / ₹ 9,999",Non-removable Li-Po 4000 mAh battery,32GB 3GB RAM,"16 MP, f/2.2, (wide), 1/3.1"", 1.0µm",32GB 3GB RAM,Android 9.0 (Pie),"$ 163.99,£ 144.46,£ 145.16,€ 166.22,₹ 9,999","12 MP, PDAF,
13 MP, (wide), AF,
2 MP, depth sensor","2019, June","6.26 inches, 97.8 cm, (~76.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity",LG W30
"$ 142.00 / £ 102.00 / ₹ 29,199",Removable Li-Ion 3200 mAh battery,64GB 4GB RAM,"5 MP, f/1.9","32GB 4GB RAM, 64GB 4GB RAM","Android 7.0 (Nougat), upgradable to Android 9.0 (Pie)","$ 142.00,$ 189.00,£ 102.00,£ 229.00,₹ 29,199","16 MP, f/1.8, 29mm (standard), 1/2.6"", Laser AF, 3-axis OIS,
8 MP, f/2.4, 12mm (ultrawide), 1/3.2"", no AF","2016, September","5.7 inches, 90.3 cm, (~72.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~513 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, color spectrum",LG V20
,Non-removable Li-Ion 3000 mAh battery,,8 MP,32GB 2GB RAM,Android 6.0 (Marshmallow),,"13 MP, AF","2016, October","5.2 inches, 74.5 cm, (~69.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",LG U
,Non-removable 6000 mAh battery,,5 MP,32GB 2GB RAM,Android 6.0.1 (Marshmallow),,"5 MP, AF","2016, December","10.1 inches, 295.8 cm, (~68.8% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,LG G Pad III 10.1 FHD
,Removable Li-Ion 2100 mAh battery,,2 MP,8GB 1GB RAM,Android 6.0.1 (Marshmallow),,5 MP,"2016, December","4.5 inches, 55.8 cm, (~59.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,LG K3 (2017)
,Removable Li-Ion 2500 mAh battery,,"5 MP, f/2.7","8GB/ 16GB (AT&T, Cricket), 1GB RAM",Android 6.0.1 (Marshmallow),,"5 MP, f/2.6, AF","2016, December","5.0 inches, 69.6 cm, (~66.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~195 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",LG K4 (2017)
,Removable Li-Ion 2500 mAh battery,,5 MP,"8GB 1GB RAM, 16GB 2GB RAM",Android 6.0.1 (Marshmallow),,"8 MP, AF","2017, April","5.0 inches, 68.9 cm, (~63.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)","Capacitive touchscreen, 16M colors","Accelerometer, proximity",LG K7 (2017)
,Removable Li-Ion 2500 mAh battery,,"5 MP, f/2.4, 1/5"", 1.12µm",16GB 1.5GB RAM,Android 7.0 (Nougat),,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","2016, December","5.0 inches, 69.4 cm, (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~293 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",LG K8 (2017)
,Removable Li-Ion 2800 mAh battery,,"5 MP, f/2.4, 1/5"", 1.12µm",16GB 2GB RAM,"Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","2016, December","5.3 inches, 77.4 cm, (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",LG K10 (2017)
,Removable Li-Ion 2700 mAh battery,,"5 MP, f/2.4, 1/5"", 1.12µm","16GB 2GB RAM, 32GB 2GB RAM",Android 7.0 (Nougat),,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","2016, December","5.3 inches, 77.4 cm, (~69.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",LG K20 plus
,Removable Li-Ion 2800 mAh battery,,5 MP,16GB 1.5GB RAM,Android 7.0 (Nougat),,"8 MP, AF","2017, April","5.3 inches, 77.4 cm, (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",LG Harmony
,Removable Li-Ion 3200 mAh battery,,"5 MP, Stylus 3, / 8 MP, Stylo 3, M400DK","16GB 3GB RAM (M400DK), 16GB 2GB RAM (K10 Pro, LS777)",Android 7.0 (Nougat),,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","2016, December","5.7 inches, 89.6 cm, (~72.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~258 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LG Stylus 3
,Removable Li-Ion 3080 mAh battery,,5 MP,32GB 2GB RAM,Android 7.0 (Nougat),,"13 MP, 1/3.1"", 1.12µm, AF","2017, May","5.7 inches, 89.6 cm, (~72.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",LG Stylo 3 Plus
,Non-removable Li-Ion 240 mAh battery,,,4GB 512MB RAM,"Android Wear 2.0, upgradable to 2.1",,No,"2017, February","1.2 inches, 9.3 cm, (~48.3% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~299 ppi density)","P-OLED capacitive touchscreen, 16M colors","Accelerometer, gyro",LG Watch Style
,Non-removable Li-Ion 430 mAh battery,,,4GB 768MB RAM,"Android Wear 2.0, upgradable to 2.1",,No,"2017, February","1.38 inches, 12.3 cm, (~52.8% screen-to-body ratio)","480 x 480 pixels, 1:1 ratio (~348 ppi density)","P-OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, heart rate, barometer",LG Watch Sport
,Non-removable Li-Ion 4500 mAh battery,,"5 MP, 1/5"", 1.12µm","16GB 1.5GB RAM, 16GB 2GB RAM, 32GB 2GB RAM","Android 7.0 (Nougat), upgradable to Android 8.1 (Oreo)",,"13 MP, 1/3.1"", 1.12µm, AF","2017, February","5.5 inches, 83.4 cm, (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",LG X power2
