basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
"$ 329.00 / £ 228.89 / € 269.00 / ₹ 15,990",Non-removable Li-Po 3500 mAh battery,"64GB 4GB RAM,64GB 6GB RAM,128GB 4GB RAM","20 MP, f/2.0, (wide), 1/3"", 0.9µm","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",Android 9.0 (Pie); Android One,"$ 369.00,£ 228.89,£ 228.99,$ 379.00,£ 284.00,₹ 15,990,$ 329.00,$ 349.00","48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF,
8 MP, f/2.2, 13mm (ultrawide),
5 MP, depth sensor","2019, September","6.3 inches, 99.1 cm, (~82.4% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 7.2
,Non-removable Li-Ion 3000 mAh battery,,"5 MP, f/2.0, 1/4"", 1.4µm, AF","64GB 4GB RAM, 64GB 6GB RAM","Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)",,"16 MP, f/1.8, 1.12µm, PDAF","2017, October","5.2 inches, 74.5 cm, (~73.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 7
,Non-removable Li-Ion 4100 mAh battery,,5 MP,8GB 1GB RAM,"Android 7.1.1 (Nougat), upgradable to Android 8.1 (Oreo)",,"8 MP, AF","2017, October","5.0 inches, 68.9 cm, (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 2
,Removable Li-Ion 1200 mAh battery (BL-4UL),,No,512MB 256MB RAM,,,2 MP,"2018, January","2.4 inches, 17.8 cm, (~29.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",TFT,,Nokia 3310 4G
"$ 39.77 / £ 54.95 / € 149.90 / ₹ 4,199",Removable Li-Ion 2150 mAh battery,8GB 1GB RAM,2 MP,8GB 1GB RAM,Android 8.1 Oreo (Go edition),"$ 59.00,$ 39.77,£ 54.95,£ 149.99,€ 149.90,₹ 4,199,₹ 4,327",5 MP,"2018, February","4.5 inches, 55.8 cm, (~61.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Nokia 1
"$ 126.99 / £ 100.00 / € 189.99 / ₹ 7,995",Non-removable Li-Ion 3000 mAh battery,"32GB 3GB RAM,64GB 4GB RAM,32GB 4GB RAM","8 MP, f/2.0, 1/4"", 1.12µm","32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","$ 126.99,$ 199.00,£ 100.00,$ 153.29,£ 284.50,€ 219.00,₹ 10,999","16 MP, f/2.0, 27mm (wide), 1.0µm, PDAF","2018, January","5.5 inches, 82.6 cm, (~73.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 6.1
$ 166.64 / £ 199.99,Non-removable Li-Ion 3800 mAh battery,"64GB 4GB RAM,64GB 6GB RAM","16 MP, f/2.0, 1/3.1"", 1.0µm","64GB 4GB RAM, 64GB 6GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","$ 203.69,$ 289.99,$ 166.64,£ 199.99,£ 299.00,£ 269.99","12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF,
13 MP, f/2.6, 1/3.4"", 1.0µm, 2x optical zoom, AF","2018, February","6.0 inches, 92.4 cm, (~77.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 7 plus
"$ 469.99 / £ 549.00 / € 924.10 / ₹ 36,999",Non-removable Li-Ion 3260 mAh battery,128GB 6GB RAM,"5 MP, f/2.0, 1/4"", 1.4µm",128GB 6GB RAM,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); Android One","$ 469.99,£ 549.00,£ 674.90,€ 924.10,₹ 36,999","12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF,
13 MP, f/2.6, 1/3.4"", 1.0µm, 2x optical zoom, AF","2018, February","5.5 inches, 83.4 cm, (~81.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","P-OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",Nokia 8 Sirocco
,Li-Ion 1500 mAh battery,,No,4GB 512MB RAM,KaiOS,,2 MP,"2018, February","2.4 inches, 17.8 cm, (~27.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",TFT,,Nokia 8110 4G
"£ 79.99 / € 92.00 / ₹ 4,999",Non-removable Li-Ion 4000 mAh battery,8GB 1GB RAM,5 MP,8GB 1GB RAM,"Android 8.1 Oreo (Go edition), upgradable to Android 9.0 Pie (Go edition); Android One","£ 79.99,£ 259.00,€ 92.00,₹ 4,999,₹ 5,579","8 MP, AF","2018, May","5.5 inches, 83.4 cm, (~70.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Nokia 2.1
"$ 109.00 / £ 78.98 / € 131.00 / ₹ 6,339",Non-removable Li-Ion 2990 mAh battery,"16GB 2GB RAM,32GB 3GB RAM","8 MP, f/2.0","16GB 2GB RAM, 32GB 3GB RAM","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); Android One","$ 109.00,$ 209.99,£ 78.98,£ 79.99,€ 131.00,₹ 6,499,₹ 7,999","13 MP, f/2.0, AF","2018, May","5.2 inches, 69.8 cm, (~69.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~310 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Nokia 3.1
"£ 109.97 / € 136.97 / ₹ 8,390",Non-removable Li-Ion 2970 mAh battery,"16GB 2GB RAM,32GB 3GB RAM",8 MP,"16GB 2GB RAM, 32GB 3GB RAM","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); Android One","£ 109.97,€ 136.97,£ 136.83,₹ 8,390,₹ 8,750","16 MP, PDAF","2018, May","5.5 inches, 78.1 cm, (~73.1% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~439 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 5.1
"$ 139.99 / £ 124.36 / € 145.63 / ₹ 6,999",Non-removable Li-Ion 3060 mAh battery,"32GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM","8 MP, f/2.2, 26mm (wide)","32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","$ 139.99,$ 149.00,$ 165.99,₹ 7,990,₹ 9,975,₹ 10,899","13 MP, f/2.0, PDAF,
5 MP, depth sensor","2018, July","5.86 inches, 85.7 cm, (~79.6% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~287 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 5.1 Plus (Nokia X5)
"$ 209.99 / £ 198.73 / € 213.41 / ₹ 8,999",Non-removable Li-Ion 3060 mAh battery,"64GB 4GB RAM,64GB 6GB RAM","16 MP, f/2.0, 1/3.1"", 1.0µm","32GB 4GB RAM, 64GB 4GB RAM, 64GB 6GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","$ 343.88,$ 209.99,£ 198.73,€ 213.41,₹ 8,999,₹ 13,990","16 MP, f/2.0, 1.0µm, PDAF,
5 MP, f/2.4, 1.12µm, depth sensor","2018, July","5.8 inches, 85.1 cm, (~81.5% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~432 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 6.1 Plus (Nokia X6)
"$ 179.99 / £ 198.97 / € 214.00 / ₹ 11,535",Non-removable Li-Ion 3060 mAh battery,"32GB 3GB RAM,64GB 4GB RAM","8 MP, f/2.0, 24mm (wide)","32GB 3GB RAM, 64GB 4GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","$ 219.99,£ 198.97,£ 199.99,€ 214.00,$ 179.99,$ 248.60,$ 219.78,£ 285.00,₹ 11,535","12 MP, f/1.8, 1.28µm, Dual Pixel PDAF,
5 MP, f/2.4, 1.12µm, depth sensor","2018, October","5.84 inches, 85.1 cm, (~79.9% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~432 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 7.1
"£ 99.99 / € 114.00 / ₹ 6,770",Non-removable Li-Ion 3500 mAh battery,"32GB 2GB RAM,32GB 3GB RAM,16GB 2GB RAM","8 MP, f/2.2","16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","£ 99.99,₹ 6,770,₹ 6,903,€ 114.00","13 MP, f/2.0, AF,
5 MP, f/2.4, depth sensor","2018, October","6.0 inches, 92.9 cm, (~77.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nokia 3.1 Plus
"$ 93.09 / £ 140.00 / € 149.00 / ₹ 8,180",Non-removable Li-Ion 3000 mAh battery,"32GB 3GB RAM,64GB 4GB RAM","8 MP, f/2.0, 1/4"", 1.12µm, AF","32GB 3GB RAM, 64GB 4GB RAM","Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)","$ 109.00,$ 119.69,£ 140.00,€ 149.00,₹ 8,180,$ 93.09","16 MP, f/2.0, 1.0µm, PDAF","2017, January","5.5 inches, 82.6 cm, (~70.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Nokia 6
"$ 89.00 / £ 94.99 / ₹ 6,999",Non-removable Li-Ion 3000 mAh battery,"16GB 2GB RAM,16GB 3GB RAM","8 MP, f/2.0, 1/4"", 1.12µm","16GB 2GB RAM, 16GB 3GB RAM","Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)","$ 89.00,$ 159.99,£ 94.99,£ 99.99,₹ 6,999,₹ 9,999,₹ 15,069","13 MP, f/2.0, 1/3"", 1.12µm, PDAF","2017, February","5.2 inches, 74.5 cm, (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Nokia 5
"$ 79.00 / £ 85.99 / € 94.95 / ₹ 5,100",Non-removable Li-Ion 2630 mAh battery,16GB 2GB RAM,"8 MP, f/2.0, AF",16GB 2GB RAM,"Android 7.0 (Nougat), upgradable to Android 9.0 (Pie)","$ 79.00,£ 85.99,€ 94.95,₹ 5,100,₹ 5,295","8 MP, f/2.0, 1.12µm, AF","2017, February","5.0 inches, 68.9 cm, (~67.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Nokia 3
,Removable Li-Ion 1020 mAh battery (BL-5C),,No,8MB 4MB RAM,,,VGA,"2017, July","1.8 inches, 10.0 cm, (~18.6% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)","TFT, 65K colors",,Nokia 130 (2017)
,Removable Li-Ion 800 mAh battery,,,4MB 4MB RAM,,,No,"2017, July","1.8 inches, 10.0 cm, (~18.1% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)","TFT, 65K colors",,Nokia 105 (2017)
"$ 160.94 / £ 178.99 / € 670.00 / ₹ 19,999",Non-removable Li-Ion 3090 mAh battery,"64GB 4GB RAM,128GB 6GB RAM","13 MP, f/2.0, 1.12µm, PDAF","64GB 4GB RAM, 128GB 6GB RAM","Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)","$ 233.98,$ 299.00,$ 160.94,£ 178.99,£ 239.99,£ 749.00,£ 749.00,€ 670.00","13 MP, f/2.0, 1.12µm, PDAF, Laser AF, OIS,
13 MP B/W, f/2.0, 1.12µm, PDAF, Laser AF","2017, September","5.3 inches, 77.4 cm, (~69.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~554 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Nokia 8
,Removable Li-Ion 1200 mAh battery (BL-4UL),,No,64MB,,,2 MP,"2017, September","2.4 inches, 17.8 cm, (~29.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",TFT,,Nokia 3310 3G
,Removable Li-Ion 800 mAh battery,,,4MB 4MB RAM,,,No,"2018, November","1.8 inches, 10.0 cm, (~18.2% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~111 ppi density)","TFT, 65K colors",,Nokia 106 (2018)
