basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
$ 279.99 / £ 336.38,Non-removable Li-Po 3300 mAh battery,"64GB 6GB RAM,128GB 8GB RAM,256GB 8GB RAM","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Android 8.1 (Oreo), upgradable to Android 10; OxygenOS 10.0.1","$ 319.95,$ 409.49,$ 279.99,$ 329.95,$ 429.49,$ 309.99,$ 299.95,$ 342.92,£ 624.79","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS,
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","2018, May","6.28 inches, 98.4 cm, (~83.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~402 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",OnePlus 6
$ 326.65 / £ 369.95,Non-removable Li-Po 3700 mAh battery,"128GB 6GB RAM,128GB 8GB RAM,256GB 8GB RAM","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Android 9.0 (Pie), upgradable to Android 10; OxygenOS 10.0.1","$ 329.45,$ 369.99,£ 459.00,$ 326.65,$ 379.95,$ 349.99,$ 899.00,$ 410.00,£ 389.00","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS,
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","2018, October","6.41 inches, 100.9 cm, (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 6T
,Non-removable Li-Po 3700 mAh battery,,"16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",256GB 10GB RAM,Android 9.0 (Pie); OxygenOS 9.0.16,,"16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS,
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","2018, December","6.41 inches, 100.9 cm, (~85.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 6T McLaren
"$ 382.99 / £ 321.66 / € 545.99 / ₹ 26,999",Non-removable Li-Po 3700 mAh battery,"128GB 6GB RAM,256GB 8GB RAM","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","128GB 6GB RAM, 256GB 8GB RAM","Android 9.0 (Pie), upgradable to Android 10.0; OxygenOS 10.0.2","$ 469.99,$ 630.00,£ 479.00,€ 618.83,$ 426.99,$ 429.00,$ 382.99,$ 398.99","48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS,
5MP, f/2.4, 1.12µm, depth sensor","2019, May","6.41 inches, 100.9 cm, (~85.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~402 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 7
"$ 517.99 / £ 479.32 / ₹ 43,499",Non-removable Li-Po 4000 mAh battery,"128GB 6GB RAM,256GB 8GB RAM,256GB 12GB RAM","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm","128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Android 9.0 (Pie); OxygenOS 10.0.2,"$ 579.99,$ 599.00,$ 517.99,$ 618.99,$ 624.00,$ 581.18,$ 855.00,$ 639.99,£ 547.00","48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS,
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, Laser AF, OIS,
16 MP, f/2.2, 13mm (ultrawide), AF","2019, May","6.67 inches, 108.8 cm, (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)","Fluid AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 7 Pro
,Non-removable Li-Po 4000 mAh battery,,"Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm","128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Android 9.0 (Pie); OxygenOS 9.5.11,,"48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS,
8 MP, f/2.4, 78mm (telephoto), 3x zoom, PDAF, Laser AF, OIS,
16 MP, f/2.2, 13mm (ultrawide)","2019, May","6.67 inches, 109.2 cm, (~88.5% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~515 ppi density)","Fluid AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 7 Pro 5G
"$ 434.99 / £ 429.00 / € 570.00 / ₹ 37,783",Non-removable Li-Po 3800 mAh battery,"128GB 8GB RAM,256GB 8GB RAM","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","128GB 8GB RAM, 256GB 8GB RAM",Android 10.0; OxygenOS 10.0.5,"$ 648.97,$ 929.00,$ 434.99,£ 429.00,$ 466.99,$ 499.99,£ 449.00,₹ 39,999","48 MP, f/1.6, 26mm (wide), 1/2"", 0.8µm, PDAF, OIS,
12 MP, f/2.2, 51mm (telephoto), 1.0µm, PDAF, 2x optical zoom,
16 MP, f/2.2, 17mm (ultrawide), AF","2019, September 26","6.55 inches, 103.6 cm, (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Fluid AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 7T
"$ 654.16 / £ 599.00 / € 749.00 / ₹ 53,999",Non-removable Li-Po 4085 mAh battery,"256GB 8GB RAM,256GB 12GB RAM","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm","256GB 8GB RAM, 256GB 12GB RAM",Android 10.0; OxygenOS 10.0.4,"$ 899.99,$ 654.16,$ 698.99,£ 599.00,$ 821.56,£ 695.99","48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS,
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, Laser AF, OIS,
16 MP, f/2.2, 13mm (ultrawide), AF","2019, October","6.67 inches, 108.8 cm, (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)","Fluid AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 7T Pro
,Non-removable Li-Po 4085 mAh battery,,"Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",256GB 12GB RAM,Android 10.0; OxygenOS 10.0,,"48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS,
8 MP, f/2.4, (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom,
16 MP, f/2.2, 13mm (ultrawide), AF","2019, October","6.67 inches, 108.8 cm, (~88.1% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~516 ppi density)","Fluid AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",OnePlus 7T Pro 5G McLaren
,Non-removable Li-Po 3100 mAh battery,,"5 MP, f/2.0","16GB 3GB RAM, 64GB 3GB RAM","Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow)",,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF","2014, April. Released 2014, June","5.5 inches, 83.4 cm, (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",OnePlus One
,Non-removable Li-Po 3300 mAh battery,,"5 MP, f/2.4","16GB 3GB RAM, 64GB 4GB RAM","Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow); Oxygen 3.5.6 UI",,"13 MP, f/2.0, 1/2.6"", 1.3µm, Laser AF, OIS","2015, July. Released 2015, August","5.5 inches, 83.4 cm, (~73.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",OnePlus 2
,Non-removable Li-Ion 3000 mAh battery,,"8 MP, f/2.0, 1/3.2"", 1.4µm",64GB 6GB RAM,"Android 6.0.1 (Marshmallow), upgradable to Android 9.0 (Pie)",,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF, OIS","2016, June. Released 2016, June","5.5 inches, 83.4 cm, (~73.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",OnePlus 3
,Non-removable Li-Po 2525 mAh battery,,"8 MP, f/2.4",16GB 3GB RAM,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow); OxygenOS 2.2.3",,"13 MP, f/2.2, 1/3.1"", 1.14µm, PDAF","2015, October. Released 2015, November","5.0 inches, 68.9 cm, (~71.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity",OnePlus X
,Non-removable Li-Ion 3400 mAh battery,,"16 MP, f/2.0, (wide), 1/3.1"", 1.0µm","64GB 6GB RAM, 128GB 6GB RAM","Android 6.0.1 (Marshmallow), upgradable to Android 9.0 (Pie)",,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF, OIS","2016, November. Released 2016, November","5.5 inches, 83.4 cm, (~73.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",OnePlus 3T
,Non-removable Li-Po 3300 mAh battery,,"16 MP, f/2.0, 20mm (wide), 1/3.1"", 1.0µm","64GB 6GB RAM, 128GB 8GB RAM","Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie); OxygenOS 9.0.4",,"16 MP, f/1.7, 24mm (wide), 1/2.8"", 1.12µm, PDAF,
20 MP, f/2.6, 36mm (standard), 1/2.8"", 1.0µm, 1.6x optical zoom, AF","2017, June. Released 2017, June","5.5 inches, 83.4 cm, (~73.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",OnePlus 5
$ 234.59 / £ 264.99,Non-removable Li-Po 3300 mAh battery,"64GB 6GB RAM,128GB 8GB RAM","16 MP, f/2.0, 20mm (wide), 1/3.1"", 1.0µm","64GB 6GB RAM, 128GB 8GB RAM","Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie); OxygenOS 9.0.4","$ 385.00,$ 519.99,$ 234.59,£ 264.99,$ 570.00,$ 890.00,$ 234.59,£ 449.00","16 MP, f/1.7, 27mm (wide), 1/2.8"", 1.12µm, PDAF,
20 MP, f/1.7, 27mm (wide), 1/2.8"", 1.0µm, AF, PDAF","2017, November","6.01 inches, 93.7 cm, (~80.0% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~401 ppi density)","Optic AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",OnePlus 5T
