basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Ion 4230 mAh battery,,"8 MP, f/2.2, 1/4"", 1.12µm","32GB 3GB RAM, 64GB 4GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6",,"13 MP, f/2.2, AF,
2 MP, f/2.4, depth sensor","2018, August","6.2 inches, 95.9 cm, (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Realme 2
,Non-removable Li-Ion 4230 mAh battery,,"5 MP, f/2.2",16GB 2GB RAM,Android 8.1 (Oreo); ColorOS 5.2,,"13 MP, f/2.2, AF,
2 MP, f/2.4, depth sensor","2018, September","6.2 inches, 95.9 cm, (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Realme C1
"$ 229.00 / £ 168.90 / ₹ 8,999",Non-removable Li-Ion 3500 mAh battery,"64GB 4GB RAM,64GB 6GB RAM,128GB 8GB RAM","16 MP, f/2.0, 25mm (wide), 1/3"", 1.0µm","64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM","Android 8.1 (Oreo), 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","$ 229.00,£ 168.90,₹ 8,999,$ 340.00,£ 234.90,₹ 10,681,$ 369.00,£ 269.00,₹ 12,999","16 MP, f/1.7, 1/2.8"", 1.12µm, PDAF,
2 MP, depth sensor","2018, September","6.3 inches, 97.4 cm, (~84.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Realme 2 Pro
"₹ 8,498",Non-removable Li-Ion 3500 mAh battery,"32GB 3GB RAM,64GB 3GB RAM,64GB 4GB RAM","25 MP, f/2.0, 1/2.8"", 0.9µm","32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6","₹ 8,498,₹ 8,989,₹ 9,449,₹ 10,250","13 MP, f/2.2, AF,
2 MP, f/2.4, depth sensor","2018, November","6.3 inches, 97.4 cm, (~83.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Realme U1
,Non-removable Li-Ion 4230 mAh battery,,"5 MP, f/2.2","32GB 2GB RAM, 32GB 3GB RAM",Android 8.1 (Oreo); ColorOS 5.2,,"13 MP, f/2.2, AF,
2 MP, f/2.4, depth sensor","2019, January","6.2 inches, 95.9 cm, (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Realme C1 (2019)
"$ 123.47 / £ 159.00 / ₹ 7,979",Non-removable Li-Po 4230 mAh battery,"32GB 3GB RAM,64GB 4GB RAM,64GB 3GB RAM","13 MP, f/2.0, 1/3"", 1.12µm","32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","$ 199.00,$ 123.47,£ 199.00,$ 213.00,£ 159.00,₹ 8,999,₹ 7,979,₹ 8,499","13 MP, f/1.8, 1/3.1"", 1.12µm, PDAF,
2 MP, depth sensor","2019, March","6.22 inches, 96.6 cm, (~81.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Realme 3
"$ 87.49 / £ 91.50 / ₹ 5,999",Non-removable Li-Po 4000 mAh battery,"32GB 3GB RAM,16GB 2GB RAM,32GB 2GB RAM","5 MP, f/2.0, 1/5"", 1.12µm","16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM",Android 9.0 (Pie); ColorOS 6 Lite,"$ 159.00,£ 128.00,₹ 6,490,$ 87.49,$ 99.99,£ 91.50,₹ 5,999,₹ 6,598","13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF,
2 MP, f/2.4, 1.75µm, depth sensor","2019, April","6.1 inches, 91.3 cm, (~80.3% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Realme C2
"$ 179.99 / £ 179.00 / ₹ 9,999",Non-removable Li-Po 4045 mAh battery,"64GB 4GB RAM,64GB 6GB RAM,128GB 6GB RAM","25 MP, f/2.0, 1/2.8"", 0.8µm","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","$ 204.90,£ 179.00,₹ 9,999,$ 249.00,£ 209.00,₹ 11,999,$ 269.00,$ 179.99,£ 219.00","16 MP, f/1.7, 1/2.6"", 1.22µm, Dual Pixel PDAF,
5 MP, f/2.4, depth sensor","2019, April","6.3 inches, 97.4 cm, (~83.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Realme 3 Pro
"$ 169.99 / £ 296.74 / ₹ 15,999",Non-removable Li-Po 3765 mAh battery,"64GB 4GB RAM,128GB 8GB RAM,128GB 4GB RAM","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3"", 1.0µm","64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","$ 277.86,$ 169.99,₹ 20,438,$ 375.75,$ 389.00,$ 219.99,₹ 15,999,₹ 16,945","48 MP, f/1.7, (wide), 26mm (wide), 1/2"", 0.8µm, PDAF,
5 MP, f/2.4, depth sensor","2019, May","6.53 inches, 105.2 cm, (~85.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~394 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Realme X
"$ 179.00 / £ 129.90 / ₹ 7,999",Non-removable Li-Po 4230 mAh battery,"32GB 3GB RAM,64GB 4GB RAM","13 MP, f/2.0, 1/3"", 1.12µm","32GB 3GB RAM, 64GB 4GB RAM","Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","$ 179.00,£ 129.90,₹ 7,999,₹ 8,399,$ 209.00,£ 179.00,₹ 9,999,₹ 10,049","13 MP, f/1.8, 1/3.1"", 1.12µm, PDAF,
2 MP, depth sensor","2019, July","6.2 inches, 95.9 cm, (~81.3% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity",Realme 3i
