basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Po 4500 mAh battery,,8 MP,32GB 3GB RAM,Android 9.0 (Pie),,"12 MP, PDAF","2019, October","5.1 inches, 71.7 cm, (~56.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)","Capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Samsung Galaxy Xcover FieldPro
"$ 391.45 / £ 441.00 / € 499.00 / ₹ 38,899",Non-removable Li-Ion 3100 mAh battery,"128GB 6GB RAM,256GB 8GB RAM","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF","128GB 6GB RAM, 256GB 8GB RAM",Android 9.0 (Pie); One UI,"$ 391.45,$ 429.99,$ 549.99,$ 465.49,£ 441.00,$ 504.95,$ 669.99","12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS,
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video","2019, February","5.8 inches, 82.8 cm, (~83.3% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~438 ppi density)","Dynamic AMOLED capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Samsung Galaxy S10e
"$ 570.48 / £ 509.40 / € 599.90 / ₹ 61,900",Non-removable Li-Ion 3400 mAh battery,"128GB 8GB RAM,512GB 8GB RAM","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF","128GB 8GB RAM, 512GB 8GB RAM",Android 9.0 (Pie); One UI,"$ 599.99,$ 668.00,$ 669.99,$ 570.48,$ 749.99,$ 829.99,$ 1,491.51,$ 961.06,£ 749.00","12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom,
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video","2019, February","6.1 inches, 93.2 cm, (~88.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~550 ppi density)","Dynamic AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Samsung Galaxy S10
"$ 529.95 / £ 525.00 / € 669.99 / ₹ 70,500",Non-removable Li-Ion 4100 mAh battery,"128GB 8GB RAM,512GB 8GB RAM,1TB 12GB RAM","10 MP, f/1.9, 26mm (wide), 1.22µm, Dual Pixel PDAF,
8 MP, f/2.2, 22mm (wide), 1.12µm, depth sensor","128GB 8GB RAM, 512GB 8GB RAM, 1TB 12GB RAM",Android 9.0 (Pie); One UI,"$ 529.95,$ 650.00,$ 679.99,$ 599.99,$ 719.99,$ 999.99,$ 879.99,$ 949.89,$ 1,199.99","12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom,
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video","2019, February","6.4 inches, 103.8 cm, (~88.9% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~522 ppi density)","Dynamic AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Samsung Galaxy S10+
$ 880.00 / £ 786.60 / € 929.86,Non-removable Li-Ion 4500 mAh battery,"256GB 8GB RAM,512GB 8GB RAM","10 MP, f/1.9, 26mm (wide), Dual Pixel PDAF,
TOF camera","256GB 8GB RAM, 512GB 8GB RAM",Android 9.0 (Pie); One UI,"$ 880.00,$ 1,669.00,£ 786.60,€ 929.86,$ 953.00","12 MP, f/1.5-2.4, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom,
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video,
TOF 3D camera","2019, February","6.7 inches, 112.0 cm, (~89.4% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~502 ppi density)","Dynamic AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",Samsung Galaxy S10 5G
,Non-removable Li-Po 12000 mAh battery,,5 MP,64GB 3GB RAM,Android 8.1 (Oreo),,No,"2019, April","17.3 inches, 825.1 cm, (~75.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~127 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Samsung Galaxy View2
,Non-removable Li-Ion 230 mAh battery,,,4GB 768MB RAM,Tizen-based wearable OS 4.0,,No,"2019, February","1.1 inches, 9.2 cm, (~58.8% screen-to-body ratio)","360 x 360 pixels, 1:1 ratio (~302 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate, barometer",Samsung Galaxy Watch Active
"$ 98.99 / £ 79.48 / € 99.54 / ₹ 5,290",Removable Li-Ion 2600 mAh battery,"16GB 1GB RAM,8GB 1GB RAM","5 MP, f/2.2","8GB 1GB RAM, 16GB 1GB RAM",Android 8.0 Oreo (Go edition),"$ 98.99,$ 149.00,£ 79.48,£ 84.00,€ 99.54,£ 89.99,€ 119.99","5 MP, f/1.9, AF","2019, April","5.0 inches, 68.9 cm, (~68.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)","PLS TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Samsung Galaxy A2 Core
,Removable Li-Ion 2800 mAh battery,,"5 MP, f/2.2",32GB 3GB RAM,Android 9.0 (Pie),,"16 MP, f/1.7, PDAF","2019, June","5.0 inches, 68.9 cm, (~64.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","PLS TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Samsung Galaxy Xcover 4s
,Non-removable Li-Po 5100 mAh battery,,2 MP,32GB 2GB RAM,Android 9.0 (Pie),,"8 MP, AF","2019, July","8.0 inches, 185.6 cm, (~71.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)","TFT capacitive touchscreen, 16M colors",Accelerometer,Samsung Galaxy Tab A 8.0 (2019)
