basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Non-removable Li-Ion 2900 mAh battery,,"13 MP, f/2.0, 22mm (wide), 1/3"", 1.12µm","32GB 4GB RAM, 64GB 4GB RAM","Android 7.1 (Nougat), upgradable to Android 8.0 (Oreo)",,"19 MP, f/2.0, 25mm (wide), 1/2.3"", predictive PDAF, Laser AF","2017, February","5.2 inches, 74.5 cm, (~70.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted, region dependent), accelerometer, gyro, proximity, barometer, compass, color spectrum",Sony Xperia XZs
,Non-removable Li-Ion 2620 mAh battery,,"5 MP, f/2.2, 24mm (wide)",16GB 2GB RAM,Android 7.0 (Nougat),,"13 MP, f/2.2, AF","2017, March","5.5 inches, 83.4 cm, (~74.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Sony Xperia L1
,Non-removable Li-Ion 2700 mAh battery,,"8 MP, f/2.4, 18mm, 1/4""",32GB 4GB RAM,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",,"19 MP, f/2.0, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF, Laser AF","2017, August","4.6 inches, 58.3 cm, (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~319 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",Sony Xperia XZ1 Compact
,Non-removable Li-Ion 3430 mAh battery,,"8 MP, f/2.0, 23mm (wide), 1/4"", AF","32GB 3GB RAM, 32GB 4GB RAM","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","2017, August","5.5 inches, 83.4 cm, (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, proximity, compass",Sony Xperia XA1 Plus
,Non-removable Li-Ion 2700 mAh battery,,"13 MP, f/2.0, 22mm (wide), 1/3""",64GB 4GB RAM,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",,"19 MP, f/2.0, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF, Laser AF","2017, August","5.2 inches, 74.5 cm, (~68.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",Sony Xperia XZ1
,Non-removable Li-Ion 2620 mAh battery,,"8 MP, predictive PDAF, 1/4""","16GB 2GB RAM, 32GB 3GB RAM",Android 7.1 (Nougat),,"13 MP, predictive PDAF","2017, October","5.2 inches, 74.5 cm, (~69.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Sony Xperia R1 (Plus)
,Non-removable Li-Ion 3300 mAh battery,,"8 MP, f/2.4, 1/4""",32GB 3GB RAM,Android 7.1.1 (Nougat),,"13 MP, f/2.0, 1/3.1"", AF","2018, January","5.5 inches, 83.4 cm, (~71.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Sony Xperia L2
,Non-removable Li-Ion 3300 mAh battery,,"8 MP, f/2.4, 1/4""",32GB 3GB RAM,Android 8.0 (Oreo),,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","2018, January","5.2 inches, 74.5 cm, (~75.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Sony Xperia XA2
,Non-removable Li-Ion 3580 mAh battery,,"16 MP, f/2.0, 23mm (wide), 1/2.6"", OIS, AF,
8 MP, f/2.4, 1/4""","32GB 4GB RAM, 64GB 4GB RAM",Android 8.0 (Oreo),,"23 MP, f/2.0, 24mm (wide), 1/2.3"", PDAF","2018, January","6.0 inches, 99.2 cm, (~76.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Sony Xperia XA2 Ultra
$ 299.99 / £ 319.90,Non-removable Li-Ion 2870 mAh battery,64GB 4GB RAM,"5 MP, f/2.2, 23mm (wide), 1/5""",64GB 4GB RAM,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)","$ 299.99,$ 799.98,£ 319.90","19 MP, f/2.0, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF, Laser AF","2018, February","5.0 inches, 64.5 cm, (~73.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~483 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",Sony Xperia XZ2 Compact
$ 258.99 / £ 279.99 / € 369.00,Non-removable Li-Ion 3180 mAh battery,"64GB 4GB RAM,64GB 6GB RAM","5 MP, f/2.2, 1/5""","64GB 4GB RAM, 64GB 6GB RAM","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)","$ 315.99,$ 449.00,$ 258.99,£ 279.99,£ 309.97,$ 362.95,$ 316.81,£ 297.60","19 MP, f/2.0, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF, Laser AF","2018, February","5.7 inches, 83.8 cm, (~76.1% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",Sony Xperia XZ2
$ 401.00 / £ 419.00 / € 711.69,Non-removable Li-Ion 3540 mAh battery,64GB 6GB RAM,"13 MP, f/2.0, 22mm (wide), 1/3"", 1.12µm",64GB 6GB RAM,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)","$ 649.99,$ 401.00,£ 419.00,€ 711.69","19 MP, f/1.8, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF, Laser AF,
12 MP B/W, f/1.6, 1/2.3"", 1.55µm, predictive PDAF, Laser AF","2018, April","5.8 inches, 91.5 cm, (~72.4% screen-to-body ratio)","3840 x 2160 pixels, 16:9 ratio (~765 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass, color spectrum",Sony Xperia XZ2 Premium
