basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
$ 164.00 / £ 138.00 / € 156.05,Non-removable Li-Po 4000 mAh battery,"64GB 4GB RAM,32GB 3GB RAM,128GB 4GB RAM","13 MP, f/2.0, 1.12µm","32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Android 9.0 (Pie); MIUI 10,"$ 222.70,$ 179.58,£ 138.00,$ 164.00,£ 155.00,€ 156.05,$ 249.00","48 MP, f/1.8, 26mm (wide), 1/2"", 0.8µm, PDAF,
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm,
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera),
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","2019, November","6.3 inches, 97.4 cm, (~80.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Xiaomi Redmi Note 8T
$ 143.99 / £ 133.66,Non-removable Li-Ion 3000 mAh battery,64GB 4GB RAM,8 MP,64GB 4GB RAM,Android 9.0 (Pie),"$ 143.99,£ 133.66","12 MP, f/2.2, 1.25 μm, PDAF,
Secondary camera, depth sensor","2018, December","5.84 inches, 85.1 cm, (~80.1% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~432 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Xiaomi Mi Play
"$ 134.00 / £ 145.97 / € 161.67 / ₹ 9,999",Non-removable Li-Po 4000 mAh battery,"32GB 3GB RAM,64GB 4GB RAM,128GB 4GB RAM","13 MP, f/2.0, 1.12µm","32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM",Android 9.0 (Pie); MIUI 11,"$ 134.00,$ 157.99,$ 149.99,$ 169.00,$ 172.99,$ 144.99,$ 179.50,$ 189.99,$ 154.51","48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF,
5 MP, f/2.2, depth sensor,
or,
12 MP, f/2.2, (wide), 1/2.9"", 1.25µm, PDAF,
2 MP, f/2.4, depth sensor","2019, January","6.3 inches, 97.4 cm, (~81.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Xiaomi Redmi Note 7
"$ 75.98 / £ 73.88 / € 85.00 / ₹ 4,299",Non-removable Li-Ion 3000 mAh battery,"16GB 1GB RAM,8GB 1GB RAM","5 MP, f/2.2, 1/5"", 1.12µm","8GB 1GB RAM, 16GB 1GB RAM",Android 8.1 Oreo (Go edition),"$ 75.98,£ 77.20,€ 89.59,₹ 4,355,£ 73.88,€ 85.00,₹ 4,299,₹ 4,790","8 MP, f/2.0, 1/4.0"", 1.12µm, AF","2019, January","5.0 inches, 68.0 cm, (~69.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~296 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Xiaomi Redmi Go
$ 318.99 / £ 274.00 / € 419.00,Non-removable Li-Po 3300 mAh battery,"64GB 6GB RAM,128GB 6GB RAM,128GB 8GB RAM","20 MP, f/2.0, (wide), 1/3"", 0.9µm","64GB 6GB RAM, 64GB 8GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",Android 9.0 (Pie); MIUI 10,"$ 342.95,$ 349.47,$ 318.99,$ 385.00,$ 408.89,$ 386.29,$ 575.99","48 MP, f/1.8, 27mm (wide), 1/2"", 0.8µm, PDAF, Laser AF,
12 MP, f/2.2, 54mm (telephoto), 1/3.6"", 1.0µm, PDAF, Laser AF, 2x optical zoom,
16 MP, f/2.2, 13mm (ultrawide), 1/3.0"", 1.0µm, PDAF, Laser AF","2019, February","6.39 inches, 100.2 cm, (~85.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Xiaomi Mi 9
$ 252.99 / £ 229.99 / € 284.97,Non-removable Li-Po 3070 mAh battery,"64GB 6GB RAM,128GB 6GB RAM","20 MP, f/2.0, (wide), 1/3"", 0.9µm","64GB 6GB RAM, 128GB 6GB RAM",Android 9.0 (Pie); MIUI 10.3.3,"$ 258.99,$ 295.99,$ 252.99,£ 229.99,$ 310.99,$ 255.99,£ 255.00,£ 261.63","48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF,
8 MP, f/2.4, (telephoto), 1/4.0"", 1.12µm, PDAF,
13 MP, f/2.4, (ultrawide), 1/3.1"", 1.12µm","2019, February","5.97 inches, 87.5 cm, (~84.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~432 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Xiaomi Mi 9 SE
,Non-removable Li-Po 3300 mAh battery,,"20 MP, f/2.0, (wide), 1/3"", 0.9µm","256GB 8GB RAM, 256GB 12GB RAM",Android 9.0 (Pie); MIUI 10,,"48 MP, f/1.5 (12GB RAM model) or f/1.8 (8GB RAM model), (wide), 1/2"", 0.8µm, PDAF, Laser AF,
12 MP, f/2.2, 54mm (telephoto), 1/3.6"", 1.0µm, PDAF, Laser AF, 2x optical zoom,
16 MP, f/2.2, 13mm (ultrawide), 1/3.0"", 1.0µm, PDAF, Laser AF","2019, February","6.39 inches, 100.2 cm, (~85.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Xiaomi Mi 9 Explorer
$ 329.99 / £ 275.69,Non-removable Li-Po 3800 mAh battery,"64GB 6GB RAM,128GB 6GB RAM","Manual pop-up 24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm,
Manual pop-up 2 MP, depth sensor","64GB 6GB RAM, 128GB 6GB RAM",Android 9.0 (Pie); MIUI 10,"$ 329.99,£ 275.69,£ 399.00,£ 651.10","12 MP (wide), f/1.8, 1/2.55"", 1.4µm, Dual Pixel PDAF, 4-axis OIS,
12 MP (telephoto), 1/3.4"", 1.0µm","2019, February","6.39 inches, 100.2 cm, (~85.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Xiaomi Mi Mix 3 5G
"$ 159.99 / £ 249.00 / ₹ 9,480",Non-removable Li-Po 4000 mAh battery,"128GB 6GB RAM,64GB 4GB RAM,64GB 6GB RAM",13 MP,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","Android 9.0 (Pie), upgradable to Android 10; MIUI 11","$ 190.99,$ 159.99,$ 245.99,₹ 9,480,₹ 10,999,₹ 11,999,₹ 12,498","48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF,
5 MP, f/2.4, depth sensor","2019, February","6.3 inches, 97.4 cm, (~81.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Xiaomi Redmi Note 7 Pro
"$ 104.00 / £ 109.99 / € 124.00 / ₹ 6,999",Non-removable Li-Po 4000 mAh battery,"16GB 2GB RAM,32GB 3GB RAM,64GB 3GB RAM","8 MP, f/2.0, 1/4"", 1.12µm","16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","Android 9.0 Pie, upgradable to Android 10; MIUI 11","$ 109.99,$ 104.00,£ 115.99,$ 129.99,$ 134.00,$ 123.74,$ 144.99,$ 149.99,£ 170.22","12 MP, f/2.2, 1/2.9"", 1.25µm, PDAF,
2 MP, depth sensor","2019, March","6.26 inches, 97.8 cm, (~81.5% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Xiaomi Redmi 7
