basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
"$ 779.00 / £ 660.98 / € 779.99 / ₹ 79,999",Non-removable Li-Ion 4300 mAh battery,"256GB 12GB RAM,512GB 12GB RAM","10 MP, f/2.2, 26mm (wide), 1.22µm, Dual Pixel PDAF","256GB 12GB RAM, 512GB 12GB RAM",Android 9.0 (Pie); One UI,"$ 779.00,$ 799.99,$ 899.99,$ 999.99,£ 660.98,$ 935.00,$ 954.99,$ 999.99,£ 832.99","12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS,
12 MP, f/2.1, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom,
16 MP, f/2.2, 12mm (ultrawide), 1.0µm, Super Steady video,
TOF 3D VGA camera","2019, August","6.8 inches, 114.0 cm, (~91.0% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~498 ppi density)","Dynamic AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",Samsung Galaxy Note10+
"$ 269.00 / £ 199.00 / € 259.00 / ₹ 13,999",Non-removable Li-Po 6000 mAh battery,"64GB 4GB RAM,128GB 6GB RAM","16 MP, f/2.0","64GB 4GB RAM, 128GB 6GB RAM",Android 9.0 (Pie); One UI,"$ 269.00,£ 199.00,£ 216.90,€ 259.00,₹ 13,999,$ 319.99,$ 288.00,£ 244.00","48 MP, f/2.0, (wide), 1/2"", 0.8µm, PDAF,
8 MP, f/2.2, 12mm (ultrawide),
5 MP, f/2.2, depth sensor","2019, September","6.4 inches, 100.5 cm, (~84.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Samsung Galaxy M30s
"$ 193.97 / £ 192.53 / € 215.00 / ₹ 27,999",Non-removable Li-Ion 1960 mAh battery (7.45 Wh),"32GB,128GB,256GB","7 MP, f/2.2, 32mm (standard)","32GB 2GB RAM, 128GB 2GB RAM, 256GB 2GB RAM","iOS 10.0.1, upgradable to iOS 13.2","$ 193.97,$ 248.99,$ 221.18,$ 218.99,$ 286.99,£ 192.53,$ 248.99,$ 329.00,£ 256.00","12 MP, f/1.8, 28mm (wide), 1/3"", PDAF, OIS","2016, September","4.7 inches, 60.9 cm, (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","Retina IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 7
"$ 1,099.00 / £ 1,089.00 / € 1,199.00 / ₹ 109,900",Non-removable Li-Ion 3969 mAh battery (15.04 Wh),"64GB,256GB,512GB","12 MP, f/2.2, 23mm (wide),
SL 3D camera","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","iOS 13, upgradable to iOS 13.2","$ 1,099.99,$ 1,563.17,£ 1,089.00,$ 1,099.00,$ 1,475.00,$ 1,958.98,$ 1,695.00,£ 1,499.00,£ 1,499.00","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom,
12 MP, f/2.4, 13mm (ultrawide)","2019, September","6.5 inches, 102.9 cm, (~83.7% screen-to-body ratio)","1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)","Super Retina XDR OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone 11 Pro Max
$ 164.90 / £ 139.00 / € 161.90,Non-removable Li-Po 4000 mAh battery,"64GB 4GB RAM,32GB 3GB RAM,128GB 4GB RAM","13 MP, f/2.0, 1.12µm","32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Android 9.0 (Pie); MIUI 10,"$ 231.70,$ 179.58,£ 139.00,$ 164.90,€ 161.90,$ 215.00","48 MP, f/1.8, 26mm (wide), 1/2"", 0.8µm, PDAF,
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm,
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera),
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","2019, November","6.3 inches, 97.4 cm, (~80.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Xiaomi Redmi Note 8T
"$ 323.64 / £ 253.67 / € 318.80 / ₹ 16,999",Non-removable Li-Po 4500 mAh battery,"128GB 6GB RAM,128GB 8GB RAM","32 MP, f/2.0, 0.8µm","128GB 6GB RAM, 128GB 8GB RAM",Android 9.0 (Pie); One UI,"$ 329.99,$ 349.99,$ 354.98,$ 323.64,$ 349.99,$ 404.99,$ 379.99,£ 283.06","32 MP, f/1.7, PDAF,
8 MP, f/2.2, 12mm (ultrawide),
5 MP, f/2.2, depth sensor","2019, March","6.7 inches, 108.4 cm, (~86.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Samsung Galaxy A70
"$ 174.16 / £ 224.00 / € 248.00 / ₹ 13,648",Non-removable Li-Po 4035 mAh battery,"64GB 4GB RAM,128GB 8GB RAM,64GB 6GB RAM","16 MP, f/2.0, 1/3.1"", 1.0µm","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","$ 290.00,£ 224.00,₹ 13,648,$ 344.00,$ 212.99,$ 259.99,₹ 14,999,₹ 15,245","48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF,
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm,
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera),
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","2019, August","6.3 inches, 97.4 cm, (~83.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Realme 5 Pro
$ 433.99,Non-removable Li-Po 5260 mAh battery,"128GB 6GB RAM,128GB 8GB RAM,256GB 8GB RAM","32 MP, f/2.0, 0.8µm","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Android 9.0 (Pie); MIUI 11,"$ 433.99,$ 549.99,$ 498.99,$ 484.99","108 MP (8P lens - 256GB GB model), f/1.7, 25mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS,
12 MP, f/2.0, 50mm (telephoto), 1/2.55"", 1.4µm, Dual Pixel PDAF, Laser AF, 2x optical zoom,
5 MP (upscaled to 8MP), f/2.0, (telephoto), 1.0µm, PDAF, Laser AF, OIS, 5x optical zoom,
20 MP, f/2.2, 13mm (ultrawide), 1/2.8"", 1.0µm, Laser AF,
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)","2019, November","6.47 inches, 102.8 cm, (~87.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Xiaomi Mi CC9 Pro
,Non-removable Li-Po 4000 mAh battery,,"32 MP, f/2.0, 25mm (wide)","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Android 9.0 (Pie),,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF,
12 MP, (telephoto), PDAF, 2x optical zoom,
12 MP, f/2.2, 13mm (ultrawide),
5 MP, f/2.2, depth sensor",Not announced yet,"6.5 inches, 103.7 cm, (~88.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Samsung Galaxy A51
$ 649.00,Non-removable Li-Po 5260 mAh battery,256GB 8GB RAM,"32 MP, f/2.0, 0.8µm",256GB 8GB RAM,Android 9.0 (Pie); MIUI 11,$ 649.00,"108 MP (8P lens), f/1.7, 25mm (wide), 1/1.33"", 0.8µm, PDAF, Laser AF, OIS,
12 MP, f/2.0, 50mm (telephoto), 1/2.55"", 1.4µm, Dual Pixel PDAF, Laser AF, 2x optical zoom,
5 MP (upscaled to 8MP), f/2.0, (telephoto), 1.0µm, PDAF, Laser AF, OIS, 5x optical zoom,
20 MP, f/2.2, 13mm (ultrawide), 1/2.8"", 1.0µm, Laser AF,
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)","2019, November","6.47 inches, 102.8 cm, (~87.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)","AMOLED capacitive touchscreen, 16M colors","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Xiaomi Mi Note 10 Pro
