title
Xiaomi Redmi Note 8 Pro
Huawei P30 Pro
Huawei Y9s
vivo U20
vivo V17
Oppo A5 (2020)
Oppo A9 (2020)
Samsung Galaxy A50s
Infinix Hot 8
Realme XT
Realme 5
vivo Y69
Apple iPhone 7 Plus
Samsung Galaxy A30s
Xiaomi Redmi 8
Samsung Galaxy Note10+
Xiaomi Redmi 7
Xiaomi Mi 9 Pro
Xiaomi Redmi Note 7 Pro
Xiaomi Mi 9
vivo S1
Apple iPhone 6s Plus
Apple iPhone 6
Oppo A5s (AX5s)
Realme X2
Huawei Y9 Prime (2019)
OnePlus 7T Pro
Apple iPhone X
Xiaomi Mi Watch
Infinix S5
Samsung Galaxy A10s
OnePlus 7T
Xiaomi Mi 9T
Xiaomi Mi 9 Lite
Huawei nova 5T
Apple iPhone 8 Plus
Samsung Galaxy A30
Apple iPhone 11 Pro
Xiaomi Mi 9T Pro
Oppo Reno2
Samsung Galaxy A20s
Nokia 7.2
Huawei Mate 30 Pro
Samsung Galaxy A10
Samsung Galaxy S10
Samsung Galaxy A70s
Samsung Galaxy S8
Apple iPhone 6s
Samsung Galaxy S10+
vivo S5
Huawei P30 lite
Samsung Galaxy A20
Apple iPhone 7
Xiaomi Mi A3
Xiaomi Redmi Note 7
Apple iPhone 11
Samsung Galaxy M30s
Apple iPhone 11 Pro Max
Xiaomi Redmi Note 8T
Samsung Galaxy A70
HTC Desire 19s
Realme 5 Pro
Realme X2 Pro
Xiaomi Mi CC9 Pro
Motorola Razr 2019
Samsung Galaxy A50
Xiaomi Mi Note 10
Xiaomi Mi Note 10 Pro
Xiaomi Redmi Note 8
Samsung Galaxy A51
screen,title
"6.5 inches, 102.9 cm, (~83.7% screen-to-body ratio)",Apple iPhone 11 Pro Max
"6.3 inches, 97.4 cm, (~80.2% screen-to-body ratio)",Xiaomi Redmi Note 8T
"6.7 inches, 108.4 cm, (~86.0% screen-to-body ratio)",Samsung Galaxy A70
"6.2 inches, 95.9 cm, (~82.1% screen-to-body ratio)",HTC Desire 19s
"6.3 inches, 97.4 cm, (~83.6% screen-to-body ratio)",Realme 5 Pro
"6.5 inches, 103.5 cm, (~84.9% screen-to-body ratio)",Realme X2 Pro
"6.47 inches, 102.8 cm, (~87.8% screen-to-body ratio)",Xiaomi Mi CC9 Pro
"6.2 inches, 86.9 cm, (~70.2% screen-to-body ratio)",Motorola Razr 2019
"6.4 inches, 100.5 cm, (~84.9% screen-to-body ratio)",Samsung Galaxy A50
"6.47 inches, 102.8 cm, (~87.8% screen-to-body ratio)",Xiaomi Mi Note 10
"6.47 inches, 102.8 cm, (~87.8% screen-to-body ratio)",Xiaomi Mi Note 10 Pro
"6.3 inches, 97.4 cm, (~81.7% screen-to-body ratio)",Xiaomi Redmi Note 8
"6.5 inches, 103.7 cm, (~88.8% screen-to-body ratio)",Samsung Galaxy A51
"6.53 inches, 104.7 cm, (~84.9% screen-to-body ratio)",Xiaomi Redmi Note 8 Pro
"5.5 inches, 83.4 cm, (~67.4% screen-to-body ratio)",Apple iPhone 8 Plus
"6.4 inches, 100.5 cm, (~84.9% screen-to-body ratio)",Samsung Galaxy A30
"6.26 inches, 97.8 cm, (~81.5% screen-to-body ratio)",Xiaomi Redmi 7
"6.39 inches, 100.2 cm, (~85.5% screen-to-body ratio)",Xiaomi Mi 9 Pro
"6.3 inches, 97.4 cm, (~81.4% screen-to-body ratio)",Xiaomi Redmi Note 7 Pro
"6.39 inches, 100.2 cm, (~85.2% screen-to-body ratio)",Xiaomi Mi 9
"6.38 inches, 99.9 cm, (~83.3% screen-to-body ratio)",vivo S1
"5.5 inches, 83.4 cm, (~67.7% screen-to-body ratio)",Apple iPhone 6s Plus
"4.7 inches, 60.9 cm, (~65.8% screen-to-body ratio)",Apple iPhone 6
"6.2 inches, 95.9 cm, (~81.6% screen-to-body ratio)",Oppo A5s (AX5s)
"6.4 inches, 100.5 cm, (~84.3% screen-to-body ratio)",Realme X2
"6.59 inches, 106.6 cm, (~84.3% screen-to-body ratio)",Huawei Y9 Prime (2019)
"6.67 inches, 108.8 cm, (~88.1% screen-to-body ratio)",OnePlus 7T Pro
"5.8 inches, 84.4 cm, (~82.9% screen-to-body ratio)",Apple iPhone X
"1.78 inches, 10.0 cm, (~60.8% screen-to-body ratio)",Xiaomi Mi Watch
"6.6 inches, 102.1 cm, (~81.9% screen-to-body ratio)",Infinix S5
"6.2 inches, 95.9 cm, (~80.7% screen-to-body ratio)",Samsung Galaxy A10s
"6.55 inches, 103.6 cm, (~86.5% screen-to-body ratio)",OnePlus 7T
"6.39 inches, 100.2 cm, (~86.1% screen-to-body ratio)",Xiaomi Mi 9T
"6.39 inches, 100.2 cm, (~85.8% screen-to-body ratio)",Xiaomi Mi 9 Lite
"6.26 inches, 96.2 cm, (~84.2% screen-to-body ratio)",Huawei nova 5T
"5.8 inches, 84.4 cm, (~82.1% screen-to-body ratio)",Apple iPhone 11 Pro
"6.39 inches, 100.2 cm, (~86.1% screen-to-body ratio)",Xiaomi Mi 9T Pro
"6.5 inches, 104.1 cm, (~87.5% screen-to-body ratio)",Oppo Reno2
"6.5 inches, 103.7 cm, (~81.9% screen-to-body ratio)",Samsung Galaxy A20s
"6.3 inches, 99.1 cm, (~82.4% screen-to-body ratio)",Nokia 7.2
"6.53 inches, 108.7 cm, (~94.1% screen-to-body ratio)",Huawei Mate 30 Pro
"6.2 inches, 95.9 cm, (~81.6% screen-to-body ratio)",Samsung Galaxy A10
"6.1 inches, 93.2 cm, (~88.3% screen-to-body ratio)",Samsung Galaxy S10
"6.7 inches, 108.4 cm, (~86.0% screen-to-body ratio)",Samsung Galaxy A70s
"5.8 inches, 84.8 cm, (~83.6% screen-to-body ratio)",Samsung Galaxy S8
"4.7 inches, 60.9 cm, (~65.6% screen-to-body ratio)",Apple iPhone 6s
"6.4 inches, 103.8 cm, (~88.9% screen-to-body ratio)",Samsung Galaxy S10+
"6.44 inches, 100.1 cm, (~85.8% screen-to-body ratio)",vivo S5
"6.15 inches, 93.6 cm, (~84.2% screen-to-body ratio)",Huawei P30 lite
"6.4 inches, 100.5 cm, (~85.0% screen-to-body ratio)",Samsung Galaxy A20
"6.47 inches, 102.8 cm, (~88.6% screen-to-body ratio)",Huawei P30 Pro
"6.59 inches, 106.6 cm, (~84.7% screen-to-body ratio)",Huawei Y9s
"6.53 inches, 104.7 cm, (~84.4% screen-to-body ratio)",vivo U20
"6.5 inches, 102.0 cm, (~82.7% screen-to-body ratio)",Oppo A5 (2020)
"6.5 inches, 102.0 cm, (~82.5% screen-to-body ratio)",Oppo A9 (2020)
"6.38 inches, 99.9 cm, (~83.4% screen-to-body ratio)",vivo V17
"6.4 inches, 100.5 cm, (~85.1% screen-to-body ratio)",Samsung Galaxy A50s
"6.52 inches, 102.6 cm, (~81.5% screen-to-body ratio)",Infinix Hot 8
"6.4 inches, 100.5 cm, (~84.3% screen-to-body ratio)",Realme XT
"6.5 inches, 102.8 cm, (~82.7% screen-to-body ratio)",Realme 5
"5.5 inches, 83.4 cm, (~71.4% screen-to-body ratio)",vivo Y69
"5.5 inches, 83.4 cm, (~67.7% screen-to-body ratio)",Apple iPhone 7 Plus
"6.4 inches, 100.5 cm, (~84.9% screen-to-body ratio)",Samsung Galaxy A30s
"6.22 inches, 96.6 cm, (~81.8% screen-to-body ratio)",Xiaomi Redmi 8
